Member id,SEC,FEH,MT,SEX,AGE,EDU,HS,CHILD,CS,Affluence Index,No. of Brands,Brand Runs,Total Volume,No. of  Trans,Value,Trans / Brand Runs,Vol/Tran,Avg. Price ,Pur Vol No Promo - %,Pur Vol Promo 6 %,Pur Vol Other Promo %,"Br. Cd. 57, 144",Br. Cd. 55,Br. Cd. 272,Br. Cd. 286,Br. Cd. 24,Br. Cd. 481,Br. Cd. 352,Br. Cd. 5,Others 999,Pr Cat 1,Pr Cat 2,Pr Cat 3,Pr Cat 4,PropCat 5,PropCat 6,PropCat 7,PropCat 8,PropCat 9,PropCat 10,PropCat 11,PropCat 12,PropCat 13,PropCat 14,PropCat 15
1017490,4,3,10,2,4,4,6,4,1,30,4,24,16275,42,1555.5,1.75,387.5,9.56,81.70%,17.40%,0.90%,2.50%,0.00%,0.00%,0.00%,0.50%,2.80%,0.00%,0.00%,94.30%,24.40%,15.40%,0.00%,60.20%,78.60%,0.00%,12.00%,0.00%,3.70%,0.60%,2.80%,0.00%,0.50%,0.00%,1.80%
1020070,3,3,10,2,1,4,5,4,1,18,4,21,13875,61,1547.75,2.9,227.46,11.15,98.90%,1.10%,0.00%,34.10%,7.60%,0.00%,0.00%,0.00%,0.00%,6.50%,0.00%,51.90%,40.70%,51.70%,7.60%,0.00%,44.10%,0.00%,42.20%,0.00%,4.30%,0.00%,0.00%,0.00%,0.00%,7.60%,1.80%
1020210,4,3,17,2,3,3,4,3,2,8,3,9,20675,26,1538,2.89,795.19,7.44,100.00%,0.00%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,1.50%,0.00%,0.00%,95.50%,5.70%,3.40%,0.00%,90.90%,97.80%,0.70%,0.00%,0.00%,0.00%,0.00%,1.50%,0.00%,0.00%,0.00%,0.00%
1024050,4,3,17,2,3,3,6,4,1,10,4,10,15450,28,1275.5,2.8,551.79,8.26,100.00%,0.00%,0.00%,36.90%,32.00%,0.00%,0.00%,0.00%,0.00%,9.10%,0.00%,22.00%,0.00%,49.20%,32.00%,18.80%,58.90%,0.00%,9.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.00%,0.00%
1024100,3,1,13,2,4,3,6,4,1,15,2,8,9150,25,917,3.13,366,10.02,100.00%,0.00%,0.00%,39.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,60.70%,3.30%,68.30%,7.70%,20.80%,63.40%,0.00%,4.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.70%,24.00%
1024120,4,3,10,2,4,3,5,1,2,13,4,19,16050,50,1518,2.63,321,9.46,100.00%,0.00%,0.00%,18.10%,18.70%,0.00%,0.00%,0.00%,0.00%,27.40%,0.00%,35.80%,8.40%,65.40%,18.70%,7.50%,42.40%,1.90%,28.70%,0.00%,7.50%,0.00%,0.00%,0.90%,0.00%,18.70%,0.00%
1024220,4,3,10,2,4,3,4,4,0,11,7,28,19150,38,1914,1.36,503.95,9.99,88.60%,5.10%,6.30%,8.40%,11.00%,9.40%,9.40%,0.00%,0.00%,3.10%,2.30%,56.40%,9.40%,61.60%,11.00%,18.00%,49.10%,2.30%,7.00%,11.70%,3.10%,0.00%,0.00%,0.00%,0.00%,11.00%,15.70%
1024400,4,3,10,2,4,1,6,2,0,4,4,13,14625,31,1395,2.38,471.77,9.54,100.00%,0.00%,0.00%,60.90%,19.50%,0.00%,0.00%,0.00%,2.60%,0.00%,0.00%,17.10%,3.40%,70.30%,19.50%,6.80%,71.10%,3.40%,0.00%,0.00%,3.40%,0.00%,2.60%,0.00%,0.00%,19.50%,0.00%
1024630,4,3,17,2,3,4,5,2,1,14,3,12,14400,21,1308.5,1.75,685.71,9.09,91.70%,8.30%,0.00%,35.40%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,58.30%,0.00%,53.80%,6.30%,39.90%,85.80%,2.80%,0.00%,5.20%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,0.00%
1025070,3,0,0,0,2,0,0,5,0,0,2,4,675,4,123.5,1,168.75,18.3,33.30%,66.70%,0.00%,0.00%,0.00%,0.00%,0.00%,11.10%,0.00%,0.00%,0.00%,88.90%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,22.20%,0.00%,0.00%,33.30%,0.00%,33.30%,11.10%,0.00%,0.00%
1025140,4,0,0,0,2,0,0,5,0,0,2,4,6400,8,368,2,800,5.75,57.80%,0.00%,42.20%,0.00%,93.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,0.00%,0.00%,93.80%,6.30%,6.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,93.80%,0.00%
1025210,2,3,17,2,2,5,5,2,1,4,3,3,7550,26,434,8.67,290.38,5.75,96.00%,0.00%,4.00%,1.30%,97.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.30%,0.00%,1.30%,97.40%,1.30%,2.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.40%,0.00%
1027040,4,3,10,2,3,4,7,4,1,11,3,4,32000,27,1864,6.75,1185.19,5.83,94.60%,0.70%,4.70%,0.00%,98.40%,0.00%,0.00%,0.00%,0.70%,0.00%,0.00%,0.90%,0.90%,0.70%,98.40%,0.00%,0.50%,0.00%,0.00%,0.00%,0.00%,0.40%,0.70%,0.00%,0.00%,98.40%,0.00%
1027160,3,0,0,0,3,0,0,5,0,0,3,3,1600,4,111,1.33,400,6.94,100.00%,0.00%,0.00%,18.80%,75.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.30%,6.30%,18.80%,75.00%,0.00%,18.80%,0.00%,0.00%,0.00%,6.30%,0.00%,0.00%,0.00%,0.00%,75.00%,0.00%
1027210,4,0,0,0,3,0,0,5,0,0,3,5,2825,5,300,1,565,10.62,100.00%,0.00%,0.00%,0.00%,53.10%,31.90%,0.00%,0.00%,0.00%,0.00%,0.00%,15.00%,15.00%,31.90%,53.10%,0.00%,0.00%,0.00%,8.00%,31.90%,7.10%,0.00%,0.00%,0.00%,0.00%,53.10%,0.00%
1027390,3,3,10,2,3,5,4,3,0,18,3,41,16730,67,2156,1.63,249.7,12.89,97.30%,0.00%,2.70%,15.50%,0.00%,0.00%,0.00%,2.70%,0.00%,0.00%,0.00%,81.80%,44.40%,34.10%,0.00%,21.50%,41.20%,3.70%,10.50%,26.90%,3.60%,0.00%,0.00%,3.60%,2.70%,0.00%,7.80%
1027480,4,1,4,2,4,4,7,4,0,9,2,3,10800,25,1141,8.33,432,10.56,100.00%,0.00%,0.00%,88.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,11.10%,1.90%,98.10%,0.00%,0.00%,98.10%,0.00%,0.00%,0.00%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1027540,3,3,10,2,2,3,2,4,1,11,2,16,12425,39,1322.5,2.44,318.59,10.64,99.40%,0.60%,0.00%,67.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,32.40%,15.50%,80.50%,0.00%,4.00%,84.50%,0.00%,1.20%,0.00%,13.70%,0.60%,0.00%,0.00%,0.00%,0.00%,0.00%
1027580,4,3,10,2,2,4,6,3,1,13,3,13,10925,27,943,2.08,404.63,8.63,88.30%,3.40%,8.20%,11.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.00%,87.20%,0.00%,34.80%,0.00%,65.20%,91.50%,0.00%,0.90%,7.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1027680,4,0,0,0,2,0,0,5,0,0,2,2,6050,8,381.5,4,756.25,6.31,100.00%,0.00%,0.00%,13.20%,86.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,13.20%,86.80%,0.00%,13.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,86.80%,0.00%
1027720,4,1,10,2,4,4,4,2,2,4,2,2,15100,24,865,12,629.17,5.73,100.00%,0.00%,0.00%,0.00%,95.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.60%,0.00%,0.00%,95.40%,4.60%,4.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.40%,0.00%
1027750,4,3,10,2,2,1,5,3,1,9,3,13,7475,15,734.5,1.15,498.33,9.83,93.00%,0.00%,7.00%,4.00%,0.00%,0.00%,0.00%,0.00%,8.00%,0.00%,0.00%,88.00%,27.40%,27.10%,0.00%,45.50%,63.90%,6.00%,14.00%,0.00%,1.30%,6.70%,8.00%,0.00%,0.00%,0.00%,0.00%
1027810,4,0,0,0,2,0,0,5,0,0,2,2,1050,5,74,2.5,210,7.05,100.00%,0.00%,0.00%,28.60%,71.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,28.60%,71.40%,0.00%,28.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,71.40%,0.00%
1027840,2,3,5,2,3,1,3,4,2,4,1,1,22050,23,1249.5,23,958.7,5.67,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
1028020,4,3,16,2,2,4,5,2,0,5,2,3,18600,23,1046,7.67,808.7,5.62,95.20%,0.00%,4.80%,0.00%,93.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.50%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
1028050,3,3,16,2,2,1,5,2,1,8,2,24,12475,40,1268.5,1.67,311.88,10.17,84.60%,13.00%,2.40%,0.00%,6.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,94.00%,31.10%,3.60%,6.00%,59.30%,68.10%,17.40%,1.20%,4.40%,1.20%,0.00%,0.00%,0.00%,0.00%,6.00%,1.60%
1028110,4,3,10,2,2,4,3,2,0,2,2,6,4800,24,360.5,4,200,7.51,95.80%,4.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.30%,0.00%,91.70%,4.20%,8.30%,4.20%,83.30%,83.30%,0.00%,8.30%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.20%,4.20%
1028230,4,2,10,2,4,3,4,2,1,10,2,6,10050,24,899,4,418.75,8.95,100.00%,0.00%,0.00%,0.00%,3.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.00%,0.00%,0.00%,3.00%,97.00%,26.90%,0.00%,0.00%,70.10%,0.00%,0.00%,0.00%,0.00%,0.00%,3.00%,0.00%
1030040,4,3,10,2,4,0,6,4,2,11,1,1,15000,23,850,23,652.17,5.67,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
1030150,4,0,0,0,4,0,0,5,0,0,3,8,3325,8,278.5,1,415.63,8.38,100.00%,0.00%,0.00%,33.80%,54.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,12.00%,6.80%,39.10%,54.10%,0.00%,33.80%,12.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,54.10%,0.00%
1030200,3,1,4,2,4,1,4,4,2,13,2,11,10325,19,674.25,1.73,543.42,6.53,97.80%,2.20%,0.00%,0.00%,2.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,97.10%,4.40%,86.00%,2.90%,6.80%,9.00%,2.20%,1.90%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.90%,84.00%
1030280,4,3,10,2,1,1,6,1,2,6,3,10,15400,38,990,3.8,405.26,6.43,100.00%,0.00%,0.00%,0.00%,87.70%,0.00%,0.00%,1.90%,0.00%,0.00%,0.00%,10.40%,3.40%,5.80%,90.30%,0.50%,5.80%,0.00%,0.80%,0.50%,0.60%,0.00%,0.00%,0.00%,1.90%,90.30%,0.00%
1030300,2,3,16,2,4,1,9,4,1,14,3,6,23500,28,1585,4.67,839.29,6.74,92.30%,0.00%,7.70%,0.00%,89.40%,0.00%,0.00%,0.00%,0.00%,0.00%,3.80%,6.80%,8.10%,2.60%,89.40%,0.00%,0.00%,6.40%,1.90%,0.00%,0.00%,1.90%,0.00%,0.40%,0.00%,89.40%,0.00%
1034020,4,0,0,0,2,0,0,5,0,0,1,1,900,5,51,5,180,5.67,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
1034130,4,1,17,2,4,4,8,3,0,8,2,3,34200,24,2468,8,1425,7.22,100.00%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.20%,0.00%,1.80%,0.00%,98.20%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1034220,3,3,10,2,4,4,4,4,1,11,5,7,9400,24,1119.5,3.43,391.67,11.91,95.20%,4.80%,0.00%,0.00%,8.00%,4.80%,0.00%,0.00%,67.00%,2.10%,0.00%,18.10%,0.00%,87.80%,12.20%,0.00%,0.00%,10.60%,5.30%,4.80%,0.00%,0.00%,67.00%,0.00%,0.00%,12.20%,0.00%
1034350,4,0,0,0,3,0,0,5,0,0,3,7,3925,9,306,1.29,436.11,7.8,94.90%,5.10%,0.00%,7.60%,11.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.90%,1.90%,7.60%,11.50%,79.00%,86.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.90%,0.00%,11.50%,0.00%
1035020,4,3,10,2,4,1,3,4,1,9,4,15,9800,23,941,1.53,426.09,9.6,100.00%,0.00%,0.00%,13.80%,0.00%,2.30%,0.00%,0.00%,0.00%,54.10%,0.00%,29.80%,6.10%,73.50%,2.00%,18.40%,36.20%,0.80%,54.10%,6.90%,0.00%,0.00%,0.00%,0.00%,0.00%,2.00%,0.00%
1035100,4,0,0,0,3,0,0,5,0,0,1,1,4950,7,280.5,7,707.14,5.67,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%
1035150,3,1,4,2,4,7,9,2,1,37,5,25,19910,43,2865.5,1.72,463.02,14.39,96.20%,0.80%,3.00%,12.10%,0.00%,1.10%,0.00%,2.30%,0.00%,0.00%,6.80%,77.80%,62.30%,37.70%,0.00%,0.00%,13.50%,21.50%,19.60%,20.70%,0.50%,2.30%,0.00%,3.40%,2.30%,0.00%,16.30%
1037050,4,3,10,2,4,1,5,1,2,10,3,4,21150,20,1326,5,1057.5,6.27,89.40%,0.00%,10.60%,0.00%,93.60%,4.30%,0.00%,0.00%,0.00%,0.00%,0.00%,2.10%,0.00%,4.30%,93.60%,2.10%,2.10%,0.00%,0.00%,4.30%,0.00%,0.00%,0.00%,0.00%,0.00%,93.60%,0.00%
1037120,4,1,4,2,2,4,10,3,1,14,3,10,15875,22,1835,2.2,721.59,11.56,100.00%,0.00%,0.00%,58.00%,0.00%,0.00%,0.00%,0.00%,23.10%,0.00%,0.00%,18.90%,5.70%,94.30%,0.00%,0.00%,76.90%,0.00%,0.00%,0.00%,0.00%,0.00%,23.10%,0.00%,0.00%,0.00%,0.00%
1037190,2,1,4,2,2,1,6,1,1,12,3,12,6825,18,468,1.5,379.17,6.86,98.50%,1.50%,0.00%,5.90%,57.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,37.00%,4.40%,20.90%,57.10%,17.60%,23.40%,1.10%,2.20%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,57.10%,13.90%
1037220,4,3,17,2,1,4,15,1,1,37,5,33,26375,34,2696,1.03,775.74,10.22,80.10%,19.30%,0.60%,13.60%,2.80%,2.60%,0.00%,0.00%,0.00%,0.80%,0.00%,80.20%,19.60%,71.50%,2.80%,6.10%,74.00%,0.00%,3.60%,11.30%,0.00%,4.30%,0.00%,0.60%,0.00%,2.80%,3.40%
1037250,3,3,10,2,4,1,4,4,1,7,2,2,16350,23,949.5,11.5,710.87,5.81,100.00%,0.00%,0.00%,0.00%,98.20%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.80%,0.00%,1.80%,98.20%,0.00%,0.00%,1.80%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.20%,0.00%
1037290,4,3,10,2,1,4,9,3,1,16,3,12,18275,31,2225.5,2.58,589.52,12.18,90.20%,9.80%,0.00%,41.00%,0.00%,0.00%,0.00%,0.00%,33.70%,0.00%,0.00%,25.30%,6.30%,88.90%,0.00%,4.80%,60.90%,0.00%,0.00%,0.00%,0.00%,0.00%,33.70%,5.50%,0.00%,0.00%,0.00%
1037420,4,3,10,2,4,3,5,4,1,17,3,18,30350,41,2121.5,2.28,740.24,6.99,90.20%,2.90%,6.90%,0.00%,79.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.20%,20.20%,12.20%,4.30%,79.60%,4.00%,7.40%,3.20%,0.00%,2.70%,4.60%,0.70%,0.00%,0.50%,0.00%,79.60%,1.30%
1037630,4,3,6,2,4,5,4,4,1,11,5,24,19000,28,1737,1.17,678.57,9.14,100.00%,0.00%,0.00%,3.70%,9.50%,7.10%,0.00%,0.00%,0.00%,2.10%,0.00%,77.60%,13.30%,26.30%,17.00%,43.40%,69.50%,0.00%,2.10%,9.90%,0.00%,1.60%,0.00%,0.00%,0.00%,17.00%,0.00%
1037690,3,1,5,2,3,1,5,4,1,10,2,3,24950,25,1425,8.33,998,5.71,100.00%,0.00%,0.00%,0.00%,95.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.40%,0.00%,0.00%,99.20%,0.80%,0.80%,3.60%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.60%,0.00%
1037720,4,1,4,2,4,5,4,4,1,15,4,17,8975,25,867.5,1.47,359,9.67,95.00%,0.00%,5.00%,27.90%,26.70%,0.00%,0.00%,0.00%,0.00%,0.00%,12.50%,32.90%,12.50%,54.00%,33.40%,0.00%,27.90%,37.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.40%,1.70%
1037850,4,3,10,1,4,5,3,4,1,16,6,23,20070,63,1830.85,2.74,318.57,9.12,94.00%,6.00%,0.00%,1.00%,6.70%,1.10%,7.50%,0.00%,0.00%,19.40%,0.00%,64.30%,18.10%,40.80%,11.70%,29.40%,39.90%,4.40%,37.50%,1.10%,0.00%,0.00%,0.00%,0.00%,0.00%,10.70%,6.50%
1037890,4,3,15,1,2,4,8,3,1,7,4,19,19950,48,1526,2.53,415.63,7.65,97.20%,0.00%,2.80%,5.00%,79.70%,0.00%,0.00%,0.00%,0.00%,0.00%,4.50%,10.80%,9.30%,10.50%,79.70%,0.50%,6.90%,9.10%,0.80%,0.60%,0.50%,0.00%,0.00%,2.40%,0.00%,79.70%,0.00%
1037940,4,3,10,2,3,3,5,4,1,13,5,4,20100,29,1210,7.25,693.1,6.02,100.00%,0.00%,0.00%,0.00%,95.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.70%,3.70%,0.70%,3.70%,95.50%,0.00%,0.00%,0.70%,3.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,95.50%,0.00%
1038000,2,3,10,2,4,1,4,4,1,5,3,6,11800,23,1216,3.83,513.04,10.31,100.00%,0.00%,0.00%,87.30%,5.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,7.60%,2.50%,92.40%,5.10%,0.00%,92.40%,0.00%,0.00%,0.00%,2.50%,0.00%,0.00%,0.00%,0.00%,5.10%,0.00%
1038080,3,2,10,2,4,4,5,1,1,17,6,28,11625,44,1366.75,1.57,264.2,11.76,100.00%,0.00%,0.00%,11.00%,7.70%,0.00%,3.40%,0.00%,10.30%,0.90%,0.00%,66.70%,42.40%,48.60%,7.70%,1.30%,38.10%,6.20%,37.60%,0.00%,0.00%,0.00%,10.30%,0.00%,0.00%,7.70%,0.00%
1038110,4,2,16,2,4,1,2,4,1,6,3,7,10275,27,741,3.86,380.56,7.21,100.00%,0.00%,0.00%,0.00%,84.70%,0.00%,0.00%,0.00%,0.00%,0.00%,2.20%,13.10%,7.30%,0.00%,92.70%,0.00%,0.00%,2.20%,0.00%,0.00%,0.00%,0.00%,0.00%,5.10%,0.00%,92.70%,0.00%
1040080,4,3,10,2,2,1,10,3,1,10,7,24,23325,50,1876.5,2.08,466.5,8.05,89.10%,10.90%,0.00%,15.40%,45.70%,2.90%,3.90%,0.00%,0.00%,5.60%,0.60%,25.90%,3.10%,51.20%,45.70%,0.00%,31.20%,2.60%,5.60%,3.90%,0.40%,0.00%,0.00%,0.40%,0.00%,45.70%,10.30%
1040150,2,3,10,2,4,0,8,2,1,26,5,45,24325,73,2896,1.62,333.22,11.91,97.20%,0.90%,1.80%,4.30%,4.90%,1.80%,0.00%,0.00%,0.00%,2.50%,0.00%,86.40%,40.10%,45.90%,7.10%,6.90%,17.90%,27.40%,17.30%,9.40%,21.00%,0.00%,0.00%,0.00%,0.00%,7.10%,0.00%
1040190,4,3,10,2,4,1,5,4,2,9,3,7,10475,27,871.5,3.86,387.96,8.32,100.00%,0.00%,0.00%,29.60%,0.00%,0.00%,5.70%,0.00%,0.00%,0.00%,0.00%,64.70%,0.70%,35.30%,0.00%,64.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1040250,4,2,10,2,4,4,6,4,1,15,2,3,14550,22,1439,7.33,661.36,9.89,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,91.40%,0.00%,8.60%,0.00%,93.10%,6.90%,0.00%,0.00%,0.00%,93.10%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.90%,0.00%
1040340,4,3,10,2,4,4,2,4,0,4,4,16,9150,27,949,1.69,338.89,10.37,97.50%,2.50%,0.00%,55.70%,14.80%,3.30%,0.00%,0.00%,0.00%,0.00%,0.00%,26.20%,11.50%,66.70%,14.80%,7.10%,66.90%,0.00%,0.00%,13.90%,3.30%,0.00%,0.00%,0.00%,0.00%,14.80%,1.10%
1040370,3,1,4,2,4,2,5,2,1,13,4,26,12050,39,1030.25,1.5,308.97,8.55,86.30%,5.60%,8.10%,0.00%,1.20%,2.50%,0.00%,0.00%,6.80%,0.00%,0.00%,89.40%,4.40%,22.20%,22.80%,50.60%,49.40%,22.20%,3.50%,14.30%,2.50%,0.00%,6.80%,0.00%,0.00%,1.20%,0.00%
